,Date,price_bitcoin,open_bitcoin,high_bitcoin,low_bitcoin,vol_bitcoin,Change_bitcoin_%,price_dowjones,open_dowjones,high_dowjones,low_dowjones,vol_dowjones,change_dowjones,price_nasdaq,open_nasdaq,high_nasdaq,low_nasdaq,vol_nasdaq,change_nasdaq,price_sp,open_sp,high_sp,low_sp,change_sp,trend_bitcoins
2932,2013-04-04,132.1,135.0,142.1,116.4,88.36,2.13,14606.11,14550.35,14625.24,14538.72,104.79,0.38,3224.98,3219.11,3226.24,3206.02,354.61,0.2,1559.98,1553.69,1562.6,1552.52,0.4,49.0
2933,2013-04-03,135.0,118.0,147.0,110.0,152.71,14.43,14550.35,14662.01,14683.13,14525.36,127.14,0.76,3218.6,3257.38,3260.15,3210.39,440.86,1.11,1553.69,1570.25,1571.47,1549.8,1.05,52.0
2934,2013-04-02,118.0,104.0,118.4,99.0,81.29,13.44,14662.01,14572.85,14684.49,14572.85,98.42,0.61,3254.86,3252.55,3267.93,3245.41,366.75,0.48,1570.25,1562.17,1573.66,1562.17,0.52,37.0
2935,2013-04-01,104.0,93.0,106.0,92.2,90.56,11.79,14572.85,14578.54,14605.72,14531.48,91.4,0.04,3239.17,3268.63,3270.23,3230.57,366.64,0.87,1562.17,1569.18,1570.57,1558.47,0.45,30.0
2936,2013-03-31,93.0,92.2,93.8,91.0,21.13,0.91,14578.54,14526.16,14585.1,14520.86,153.71,0.36,3267.52,3257.32,3270.3,3253.21,423.25,0.34,1569.19,1562.86,1570.28,1561.08,0.41,23.0
2937,2013-03-30,92.2,90.5,95.0,87.0,37.29,1.87,14578.54,14526.16,14585.1,14520.86,153.71,0.36,3267.52,3257.32,3270.3,3253.21,423.25,0.34,1569.19,1562.86,1570.28,1561.08,0.41,30.0
2938,2013-03-29,90.5,86.2,93.1,83.0,83.18,5.01,14578.54,14526.16,14585.1,14520.86,153.71,0.36,3267.52,3257.32,3270.3,3253.21,423.25,0.34,1569.19,1562.86,1570.28,1561.08,0.41,31.0
2939,2013-03-28,86.2,88.9,95.7,75.0,140.26,3.08,14578.54,14526.16,14585.1,14520.86,153.71,0.36,3267.52,3257.32,3270.3,3253.21,423.25,0.34,1569.19,1562.86,1570.28,1561.08,0.41,31.0
2940,2013-03-27,88.9,78.5,89.5,78.4,72.23,13.27,14526.16,14559.65,14559.65,14439.55,92.68,0.23,3256.52,3230.76,3258.26,3227.02,316.13,0.12,1562.85,1563.75,1564.07,1551.9,0.06,28.0
2941,2013-03-26,78.5,73.6,79.7,73.1,56.67,6.66,14559.65,14447.75,14561.54,14447.75,96.03,0.77,3252.48,3249.95,3252.93,3239.92,306.78,0.53,1563.77,1551.69,1563.95,1551.69,0.78,21.0
2942,2013-03-25,73.6,71.5,78.0,69.5,79.74,2.94,14447.75,14512.03,14563.75,14395.0,124.84,0.44,3235.3,3255.85,3263.63,3222.48,380.23,0.3,1551.69,1556.89,1564.91,1546.22,0.33,14.0
2943,2013-03-24,71.5,64.3,72.5,62.7,42.02,11.11,14512.03,14421.49,14519.95,14421.49,101.45,0.63,3245.0,3235.3,3247.94,3230.86,354.6,0.7,1556.89,1545.9,1557.74,1545.9,0.72,14.0
2944,2013-03-23,64.3,69.9,70.5,52.3,150.46,7.9,14512.03,14421.49,14519.95,14421.49,101.45,0.63,3245.0,3235.3,3247.94,3230.86,354.6,0.7,1556.89,1545.9,1557.74,1545.9,0.72,37.0
2945,2013-03-22,69.9,70.8,73.8,65.0,73.2,1.38,14512.03,14421.49,14519.95,14421.49,101.45,0.63,3245.0,3235.3,3247.94,3230.86,354.6,0.7,1556.89,1545.9,1557.74,1545.9,0.72,36.0
2946,2013-03-21,70.8,64.5,74.9,63.1,94.31,9.86,14421.49,14511.73,14511.73,14383.02,110.46,0.62,3222.6,3228.17,3237.57,3215.69,360.38,0.97,1545.8,1558.71,1558.71,1543.55,0.83,21.0
2947,2013-03-20,64.5,59.1,66.0,57.7,93.14,9.05,14511.73,14455.82,14546.82,14455.82,121.24,0.39,3254.19,3251.91,3257.99,3240.9,348.77,0.78,1558.71,1548.34,1561.56,1548.34,0.67,21.0
2948,2013-03-19,59.1,51.6,62.0,50.0,111.7,14.61,14455.82,14452.06,14514.34,14382.09,122.17,0.03,3229.1,3246.7,3252.6,3205.42,371.62,0.26,1548.34,1552.1,1557.25,1538.57,0.24,13.0
2949,2013-03-18,51.6,47.4,52.9,47.1,65.31,8.86,14452.06,14514.11,14521.59,14404.21,119.64,0.43,3237.59,3215.71,3249.37,3211.1,352.52,0.35,1552.1,1560.7,1560.7,1545.13,0.55,11.0
2950,2013-03-17,47.4,47.0,47.7,46.8,13.94,0.85,14514.11,14539.14,14539.14,14470.5,407.77,0.17,3249.07,3260.46,3260.62,3242.65,872.86,0.3,1560.7,1563.21,1563.62,1555.74,0.16,11.0
2951,2013-03-16,47.0,47.0,47.4,46.3,16.32,0.0,14514.11,14539.14,14539.14,14470.5,407.77,0.17,3249.07,3260.46,3260.62,3242.65,872.86,0.3,1560.7,1563.21,1563.62,1555.74,0.16,6.0
2952,2013-03-15,47.0,47.2,47.5,46.4,20.29,0.47,14514.11,14539.14,14539.14,14470.5,407.77,0.17,3249.07,3260.46,3260.62,3242.65,872.86,0.3,1560.7,1563.21,1563.62,1555.74,0.16,5.0
2953,2013-03-14,47.2,46.9,48.0,46.0,37.04,0.53,14539.14,14455.28,14539.29,14455.28,117.39,0.58,3258.93,3253.0,3258.93,3250.24,364.8,0.43,1563.23,1554.52,1563.32,1554.52,0.56,9.0
2954,2013-03-13,46.9,44.3,47.3,43.8,49.52,5.94,14455.28,14450.06,14472.8,14411.66,83.92,0.04,3245.12,3243.04,3251.45,3230.62,340.77,0.09,1554.52,1552.48,1556.39,1548.25,0.13,10.0
2955,2013-03-12,44.3,48.4,48.4,36.7,183.41,8.49,14450.06,14447.29,14478.8,14412.06,102.1,0.02,3242.32,3244.85,3249.78,3229.92,366.79,0.32,1552.48,1556.22,1556.77,1548.24,0.24,10.0
2956,2013-03-11,48.4,46.0,48.5,45.5,41.39,5.22,14447.29,14397.07,14448.06,14373.32,94.88,0.35,3252.87,3237.74,3252.87,3233.67,346.2,0.26,1556.22,1551.15,1556.27,1547.36,0.32,10.0
2957,2013-03-10,46.0,46.8,48.0,45.5,36.36,1.81,14397.07,14329.49,14413.17,14329.49,115.63,0.47,3244.37,3245.85,3248.7,3227.89,354.7,0.38,1551.18,1544.26,1552.48,1542.94,0.45,11.0
2958,2013-03-09,46.8,44.2,47.0,43.4,44.48,6.04,14397.07,14329.49,14413.17,14329.49,115.63,0.47,3244.37,3245.85,3248.7,3227.89,354.7,0.38,1551.18,1544.26,1552.48,1542.94,0.45,10.0
2959,2013-03-08,44.2,42.0,44.5,41.0,47.1,5.19,14397.07,14329.49,14413.17,14329.49,115.63,0.47,3244.37,3245.85,3248.7,3227.89,354.7,0.38,1551.18,1544.26,1552.48,1542.94,0.45,8.0
2960,2013-03-07,42.0,41.0,45.5,33.3,157.32,2.39,14329.49,14296.24,14354.69,14296.24,117.08,0.23,3232.09,3224.5,3235.1,3221.47,365.78,0.3,1544.26,1541.46,1545.78,1541.46,0.18,15.0
